T-001 | unexpected_fee
T-002 | tracking_stalled
T-003 | duplicate_charge
T-004 | payment_declined
T-005 | app_crash
T-006 | password_reset_missing
T-007 | password_reset_missing
T-008 | package_not_received
T-009 | duplicate_charge
T-010 | unexpected_fee
T-011 | tracking_stalled
T-012 | tracking_stalled
T-013 | password_reset_missing
T-014 | package_not_received
T-015 | unexpected_fee
T-016 | tracking_stalled
T-017 | app_crash
T-018 | payment_declined
T-019 | app_crash
T-020 | payment_declined
T-021 | verification_phone_old
T-022 | verification_phone_old
T-023 | refund_pending
T-024 | package_not_received
T-025 | refund_pending
T-026 | verification_phone_old
T-027 | unexpected_fee
T-028 | refund_pending
T-029 | damaged_item
T-030 | unexpected_fee
T-031 | package_not_received
T-032 | damaged_item
T-033 | refund_pending
T-034 | damaged_item
T-035 | app_crash
T-036 | tracking_stalled
T-037 | unexpected_fee
T-038 | verification_phone_old
T-039 | payment_declined
T-040 | damaged_item
