T-001 | tracking_stalled
T-002 | unexpected_fee
T-003 | refund_pending
T-004 | payment_declined
T-005 | duplicate_charge
T-006 | unexpected_fee
T-007 | app_crash
T-008 | tracking_stalled
T-009 | unexpected_fee
T-010 | tracking_stalled
T-011 | unexpected_fee
T-012 | password_reset_missing
T-013 | payment_declined
T-014 | duplicate_charge
T-015 | damaged_item
T-016 | payment_declined
T-017 | damaged_item
T-018 | tracking_stalled
T-019 | password_reset_missing
T-020 | refund_pending
T-021 | duplicate_charge
T-022 | refund_pending
T-023 | password_reset_missing
T-024 | app_crash
T-025 | payment_declined
T-026 | password_reset_missing
T-027 | password_reset_missing
T-028 | tracking_stalled
T-029 | app_crash
T-030 | damaged_item
T-031 | password_reset_missing
T-032 | tracking_stalled
T-033 | refund_pending
T-034 | app_crash
T-035 | password_reset_missing
T-036 | damaged_item
T-037 | package_not_received
T-038 | unexpected_fee
T-039 | password_reset_missing
T-040 |
