T-001 | duplicate_charge
T-002 | payment_declined
T-003 | duplicate_charge
T-004 | app_crash
T-005 | password_reset_missing
T-006 | duplicate_charge
T-007 | verification_phone_old
T-008 | payment_declined
T-009 | refund_pending
T-010 | tracking_stalled
T-011 | damaged_item
T-012 | damaged_item
T-013 | unexpected_fee
T-014 | payment_declined
T-015 | duplicate_charge
T-016 | app_crash
T-017 | password_reset_missing
T-018 | app_crash
T-019 | unexpected_fee
T-020 | password_reset_missing
T-021 | tracking_stalled
T-022 | password_reset_missing
T-023 | damaged_item
T-024 | verification_phone_old
T-025 | refund_pending
T-026 | verification_phone_old
T-027 | app_crash
T-028 | app_crash
T-029 | unexpected_fee
T-030 | package_not_received
T-031 | payment_declined
T-032 | package_not_received
T-033 | unexpected_fee
T-034 | refund_pending
T-035 | tracking_stalled
T-036 | package_not_received
T-037 | app_crash
T-038 | damaged_item
T-039 | tracking_stalled
T-040 | payment_declined
