T-001 | package_not_received
T-002 | refund_pending
T-003 | duplicate_charge
T-004 | package_not_received
T-005 | duplicate_charge
T-006 | app_crash
T-007 | payment_declined
T-008 | app_crash
T-009 | duplicate_charge
T-010 | refund_pending
T-011 | payment_declined
T-012 | password_reset_missing
T-013 | payment_declined
T-014 | app_crash
T-015 | password_reset_missing
T-016 | damaged_item
T-017 | tracking_stalled
T-018 | unexpected_fee
T-019 | damaged_item
T-020 | tracking_stalled
T-021 | duplicate_charge
T-022 | password_reset_missing
T-023 | duplicate_charge
T-024 | password_reset_missing
T-025 | tracking_stalled
T-026 | verification_phone_old
T-027 | verification_phone_old
T-028 | unexpected_fee
T-029 | damaged_item
T-030 | unexpected_fee
T-031 | verification_phone_old
T-032 | package_not_received
T-033 | verification_phone_old
T-034 | package_not_received
T-035 | refund_pending
T-036 | tracking_stalled
T-037 | damaged_item
T-038 | unexpected_fee
T-039 | app_crash
T-040 | refund_pending
