T-001 | verification_phone_old
T-002 | package_not_received
T-003 | package_not_received
T-004 | password_reset_missing
T-005 | app_crash
T-006 | unexpected_fee
T-007 | tracking_stalled
T-008 | password_reset_missing
T-009 | refund_pending
T-010 | verification_phone_old
T-011 | unexpected_fee
T-012 | damaged_item
T-013 | app_crash
T-014 | refund_pending
T-015 | unexpected_fee
T-016 | duplicate_charge
T-017 | tracking_stalled
T-018 | refund_pending
T-019 | damaged_item
T-020 | unexpected_fee
T-021 | unexpected_fee
T-022 | unexpected_fee
T-023 | unexpected_fee
T-024 | unexpected_fee
T-025 | unexpected_fee
T-026 | unexpected_fee
T-027 | unexpected_fee
T-028 | unexpected_fee
T-029 | unexpected_fee
T-030 | unexpected_fee
T-031 | unexpected_fee
T-032 | unexpected_fee
T-033 | unexpected_fee
T-034 | unexpected_fee
T-035 | unexpected_fee
T-036 | unexpected_fee
T-037 | unexpected_fee
T-038 | unexpected_fee
T-039 | unexpected_fee
T-040 | unexpected_fee
T-041 | unexpected_fee
T-042 | unexpected_fee
T-043 | unexpected_fee
T-044 | unexpected_fee
T-045 | unexpected_fee
T
