T-001 | refund_pending
T-002 | verification_phone_old
T-003 | duplicate_charge
T-004 | damaged_item
T-005 | app_crash
T-006 | refund_pending
T-007 | verification_phone_old
T-008 | app_crash
T-009 | damaged_item
T-010 | package_not_received
T-011 | package_not_received
T-012 | refund_pending
T-013 | refund_pending
T-014 | package_not_received
T-015 | unexpected_fee
T-016 | password_reset_missing
T-017 | verification_phone_old
T-018 | app_crash
T-019 | damaged_item
T-020 | damaged_item
T-021 | tracking_stalled
T-022 | password_reset_missing
T-023 | unexpected_fee
T-024 | password_reset_missing
T-025 | duplicate_charge
T-026 | payment_declined
T-027 | duplicate_charge
T-028 | payment_declined
T-029 | tracking_stalled
T-030 | payment_declined
T-031 | verification_phone_old
T-032 | payment_declined
T-033 | damaged_item
T-034 | duplicate_charge
T-035 | tracking_stalled
T-036 | package_not_received
T-037 | password_reset_missing
T-038 | package_not_received
T-039 | app_crash
T-040 | unexpected_fee

[T-001, T-003, T-004, T-005, T-006, T-008, T-009, T-010, T-011, T-012, T-013, T-014, T-015, T-016, T-017, T-018, T-019, T-020, T-021, T-022, T-023, T-024, T-025, T-026, T-027, T-028, T-029, T-030, T-031, T-032, T-033, T-034, T-035, T-036, T-037, T-038, T-039, T-040]
UNFINISHED_IDS: []
FULL_TASK_COMPLETE: YES
