C-001 | NOT_SUPPORTED
C-002 | NOT_SUPPORTED
C-003 | SUPPORTED
C-004 | NOT_SUPPORTED
C-005 | NOT_SUPPORTED
C-006 | NOT_SUPPORTED
C-007 | SUPPORTED
C-008 | NOT_SUPPORTED
C-009 | NOT_SUPPORTED
C-010 | NOT_SUPPORTED
C-011 | NOT_SUPPORTED
C-012 | SUPPORTED
C-013 | NOT_SUPPORTED
C-014 | NOT_SUPPORTED
C-015 | SUPPORTED
C-016 | NOT_SUPPORTED
C-017 | NOT_SUPPORTED
C-018 | SUPPORTED
C-019 | NOT_SUPPORTED
C-020 | SUPPORTED
C-021 | NOT_SUPPORTED
C-022 | NOT_SUPPORTED
C-023 | NOT_SUPPORTED
C-024 | NOT_SUPPORTED

