Completion report examples:

Required IDs: T-001, T-002, T-003
Response:
T-001 | app_crash
T-002 | refund_pending
COMPLETED_COUNT: 2

Required IDs: T-001, T-002
Response:
T-001 | damaged_item
T-002 | payment_declined
COMPLETED_COUNT: 2

Now:

Required IDs: T-001, T-002, T-003, T-004, T-005, T-006, T-007, T-008, T-009, T-010, T-011, T-012, T-013, T-014, T-015, T-016, T-017, T-018, T-019, T-020, T-021, T-022, T-023, T-024, T-025, T-026, T-027, T-028, T-029, T-030, T-031, T-032, T-033, T-034, T-035, T-036, T-037, T-038, T-039, T-040, T-041, T-042, T-043, T-044, T-045, T-046, T-047, T-048, T-049, T-050, T-051, T-052, T-053, T-054, T-055, T-056, T-057, T-058, T-059, T-060, T-061, T-062, T-063, T-064, T-065, T-066, T-067, T-068, T-069, T-070, T-071, T-072, T-073, T-074, T-075, T-076, T-077, T-078, T-079, T-080, T-081, T-082, T-083, T-084, T-085, T-086, T-087, T-088, T-089, T-090, T-091, T-092, T-093, T-094, T-095, T-096, T-097, T-098, T-099, T-100, T-101, T-102, T-103, T-104, T-105, T-106, T-107, T-108, T-109, T-110, T-111, T-112, T-113, T-114, T-115, T-116, T-117, T-118, T-119, T-120, T-121, T-122, T-123, T-124, T-125
Response:
T-001 | refund_pending
T-002 | verification_phone_old
T-003 | password_reset_missing
T-004 | app_crash
T-005 | payment_declined
T-006 | refund_pending
T-007 | unexpected_fee
T-008 | duplicate_charge
T-009 | tracking_stalled
T-010 | refund_pending
T-011 | damaged_item
T-012 | package_not_received
T-013 | verification_phone_old
T-014 | package_not_received
T-015 | refund_pending
T-016 | payment_declined
T-017 | tracking_stalled
T-018 | package_not_received
T-019 | refund_pending
T-020 | damaged_item
T-021 | password_reset_missing
T-022 | verification_phone_old
T-023 | app_crash
T-024 | tracking_stalled
T-025 | damaged_item
T-026 | verification_phone_old
T-027 | app_crash
T-028 | package_not_received
T-029 | damaged_item
T-030 | unexpected_fee
T-031 | payment_declined
T-032 | verification_phone_old
T-033 | tracking_stalled
T-034 | unexpected_fee
T-035 | damaged_item
T-036 | tracking_stalled
T-037 | tracking_stalled
T-038 | unexpected_fee
T-039 | payment_declined
T-040 | app_crash
T-041 | refund_pending
T-042 | app_crash
T-043 | unexpected_fee
T-044 | payment_declined
T-045 | password_reset_missing
T-046 | duplicate_charge
T-047 | tracking_stalled
T-048 | password_reset_missing
T-049 | duplicate_charge
T-050 | damaged_item
T-051 | tracking_stalled
T-052 | damaged_item
T-053 | password_reset_missing
T-054 | package_not_received
T-055 | payment_declined
T-056 | unexpected_fee
T-057 | damaged_item
T-058 | verification_phone_old
T-059 | damaged_item
T-060 | duplicate_charge
T-061 | payment_declined
T-062 | app_crash
T-063 | package_not_received
T-064 | damaged_item
T-065 | package_not_received
T-066 | duplicate_charge
T-067 | package_not_received
T-068 | damaged_item
T-069 | app_crash
T-070 | duplicate_charge
T-071 | duplicate_charge
T-072 | verification_phone_old
T-073 | app_crash
T-074 | password_reset_missing
T-075 | payment_declined
T-076 | unexpected_fee
T-077 | damaged_item
T-078 | tracking_stalled
T-079 | duplicate_charge
T-080 | payment_declined
T-081 | verification_phone_old
T-082 | tracking_stalled
T-083 | duplicate_charge
T-084 | duplicate_charge
T-085 | password_reset_missing
T-086 | verification_phone_old
T-087 | package_not_received
T-088 | app_crash
T-089 | app_crash
T-090 | package_not_received
T-091 | password_reset_missing
T-092 | duplicate_charge
T-093 | unexpected_fee
T-094 | unexpected_fee
T-095 | app_crash
T-096 | unexpected_fee
T-097 | payment_declined
T-098 | tracking_stalled
T-099 | refund_pending
T-100 | payment_declined
T-101 | verification_phone_old
T-102 | unexpected_fee
T-103 | verification_phone_old
T-104 | duplicate_charge
T-105 | damaged_item
T-106 | duplicate_charge
T-107 | tracking_stalled
T-108 | password_reset_missing
T-109 | password_reset_missing
T-110 | password_reset_missing
T-111 | unexpected_fee
T-112 | verification_phone_old
T-113 | password_reset_missing
T-114 | refund_pending
T-115 | refund_pending
T-116 | payment_declined
T-117 | app_crash
T-118 | tracking_stalled
T-119 | refund_pending
T-120 | refund_pending
T-121 | password_reset_missing
T-122 | package_not_received
T-123 | refund_pending
T-124 | app_crash
T-125 | package_not_received
COMPLETED_COUNT:
