T-001 | damaged_item
T-002 | unexpected_fee
T-003 | tracking_stalled
T-004 | tracking_stalled
T-005 | duplicate_charge
T-006 | refund_pending
T-007 | tracking_stalled
T-008 | verification_phone_old
T-009 | tracking_stalled
T-010 | password_reset_missing
T-011 | duplicate_charge
T-012 | payment_declined
T-013 | password_reset_missing
T-014 | app_crash
T-015 | refund_pending
T-016 | app_crash
T-017 | unexpected_fee
T-018 | unexpected_fee
T-019 | app_crash
T-020 | app_crash
T-021 | app_crash
T-022 | app_crash
T-023 | app_crash
T-024 | app_crash
T-025 | app_crash
T-026 | app_crash
T-027 | app_crash
T-028 | app_crash
T-029 | app_crash
T-030 | app_crash
T-031 | app_crash
T-032 | app_crash
T-033 | app_crash
T-034 | app_crash
T-035 | app_crash
T-036 | app_crash
T-037 | app_crash
T-038 | app_crash
T-039 | app_crash
T-040 | app_crash
T-041 | app_crash
T-042 | app_crash
T-04
