C-001 | SUPPORTED | E001-02,E001-03
C-002 | SUPPORTED | E002-02,E002-03
C-003 | SUPPORTED | E003-03
C-004 | CONTRADICTED | E004-01,E004-03
C-005 | SUPPORTED | E005-03
C-006 | INSUFFICIENT | E006-02,E006-03
C-007 | SUPPORTED | E007-02,E007-04
C-008 | SUPPORTED | E008-03,E008-04
C-009 | CONTRADICTED | E009-01,E009-03
C-010 | CONTRADICTED | E010-01,E010-03
C-011 | SUPPORTED | E011-03,E011-04
C-012 | SUPPORTED | E012-02,E012-03
C-013 | INSUFFICIENT | E013-01,E013-03
C-014 | SUPPORTED | E014-01,E014-02
C-015 | SUPPORTED | E015-02,E015-03
C-016 | SUPPORTED | E016-02,E016-03
C-017 | SUPPORTED | E017-01,E017-03
C-018 | SUPPORTED | E018-01,E018-02
C-019 | SUPPORTED | E019-01,E019-03
C-020 | SUPPORTED | E020-02,E020-03
C-021 | SUPPORTED | E021-01,E021-02
C-022 | SUPPORTED | E022-02,E022-03
C-023 | SUPPORTED | E023-02,E023-03
C-024 |
