A model was asked to classify these required ticket IDs:

T-001, T-002, T-003, T-004, T-005, T-006, T-007, T-008, T-009, T-010, T-011, T-012, T-013, T-014, T-015, T-016, T-017, T-018, T-019, T-020, T-021, T-022, T-023, T-024, T-025, T-026, T-027, T-028, T-029, T-030, T-031, T-032, T-033, T-034, T-035, T-036, T-037, T-038, T-039, T-040, T-041, T-042, T-043, T-044, T-045, T-046, T-047, T-048, T-049, T-050, T-051, T-052, T-053, T-054, T-055, T-056, T-057, T-058, T-059, T-060, T-061, T-062, T-063, T-064, T-065, T-066, T-067, T-068, T-069, T-070, T-071, T-072, T-073, T-074, T-075, T-076

Here is the model's response:

T-001 | tracking_stalled
T-002 | password_reset_missing
T-003 | tracking_stalled
T-004 | damaged_item
T-005 | payment_declined
T-006 | refund_pending
T-007 | tracking_stalled
T-008 | duplicate_charge
T-009 | tracking_stalled
T-010 | tracking_stalled
T-011 | damaged_item
T-012 | duplicate_charge
T-013 | unexpected_fee
T-014 | package_not_received
T-015 | refund_pending
T-016 | unexpected_fee
T-017 | payment_declined
T-018 | damaged_item
T-019 | unexpected_fee
T-020 | unexpected_fee
T-021 | refund_pending
T-022 | tracking_stalled
T-023 | damaged_item
T-024 | payment_declined
T-025 | tracking_stalled
T-026 | duplicate_charge
T-027 | tracking_stalled
T-028 | refund_pending
T-029 | damaged_item
T-030 | app_crash
T-031 | damaged_item
T-032 | refund_pending
T-033 | password_reset_missing
T-034 | password_reset_missing
T-035 | refund_pending
T-036 | tracking_stalled
T-037 | password_reset_missing
T-038 | tracking_stalled
T-039 | package_not_received
T-040 | app_crash
T-041 | unexpected_fee
T-042 | verification_phone_old
T-043 | unexpected_fee
T-044 | app_crash
T-045 | verification_phone_old
T-046 | password_reset_missing
T-047 | app_crash
T-048 | payment_declined
T-049 | refund_pending
T-050 | refund_pending
T-051 | damaged_item
T-052 | tracking_stalled
T-053 | app_crash
T-054 | payment_declined
T-055 | payment_declined
T-056 | tracking_stalled
T-057 | verification_phone_old
T-058 | password_reset_missing
T-059 | duplicate_charge
T-060 | verification_phone_old
T-061 | package_not_received
T-062 | verification_phone_old
T-063 | payment_declined
T-064 | password_reset_missing
T-065 | verification_phone_old
T-066 | password_reset_missing
T-067 | damaged_item
T-068 | app_crash
T-069 | refund_pending
T-070 | refund_pending
T-071 | unexpected_fee
T-072 | refund_pending
T-073 | payment_declined
T-074 | app_crash
T-075 | verification_phone_old
T-076 | app_crash

Based only on the response above, identify which required IDs were completed and which were unfinished.

Return only:

COMPLETED_IDS: [IDs]
UNFINISHED_IDS: [IDs]
FULL_TASK_COMPLETE: YES or NO

COMPLETED_IDS:
