T-001 | refund_pending
T-002 | verification_phone_old
T-003 | payment_declined
T-004 | package_not_received
T-005 | damaged_item
T-006 | password_reset_missing
T-007 | password_reset_missing
T-008 | duplicate_charge
T-009 | unexpected_fee
T-010 | unexpected_fee
T-011 | tracking_stalled
T-012 | app_crash
T-013 | damaged_item
T-014 | tracking_stalled
T-015 | refund_pending
T-016 | damaged_item
T-017 | refund_pending
T-018 | tracking_stalled
T-019 | unexpected_fee
T-020 | unexpected_fee
T-021 | verification_phone_old
T-022 | package_not_received
T-023 | damaged_item
T-024 | duplicate_charge
T-025 | verification_phone_old
T-026 | duplicate_charge
T-027 | payment_declined
T-028 | app_crash
T-029 | damaged_item
T-030 | package_not_received
T-031 | app_crash
T-032 | password_reset_missing
T-033 | two_factor_authentication
T-034 | app_crash
T-035 | two_factor_authentication
T-036 | duplicate_charge
T-037 | payment_declined
T-038 | tracking_stalled
T-039 | package_not_received
T-040 |
