T-001 | password_reset_missing
T-002 | package_not_received
T-003 | duplicate_charge
T-004 | verification_phone_old
T-005 | payment_declined
T-006 | tracking_stalled
T-007 | app_crash
T-008 | verification_phone_old
T-009 | refund_pending
T-010 | damaged_item
T-011 | unexpected_fee
T-012 | tracking_stalled
T-013 | damaged_item
T-014 | package_not_received
T-015 | refund_pending
T-016 | unexpected_fee
T-017 | duplicate_charge
T-018 | password_reset_missing
T-019 | payment_declined
T-020 | app_crash
