model,short_label,truncation_kind,strict,n,rate
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,missing_last_2,19,20,0.95
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,missing_last_10,20,20,1.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,stops_at_50,19,20,0.95
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,stops_at_90,20,20,1.0
mistralai/Mistral-7B-Instruct-v0.3,Mistral-7B,missing_last_2,40,40,1.0
mistralai/Mistral-7B-Instruct-v0.3,Mistral-7B,missing_last_10,39,40,0.975
mistralai/Mistral-7B-Instruct-v0.3,Mistral-7B,stops_at_50,40,40,1.0
mistralai/Mistral-7B-Instruct-v0.3,Mistral-7B,stops_at_90,33,40,0.825
google/gemma-2-9b-it,Gemma-2-9B,missing_last_2,37,40,0.925
google/gemma-2-9b-it,Gemma-2-9B,missing_last_10,39,40,0.975
google/gemma-2-9b-it,Gemma-2-9B,stops_at_50,40,40,1.0
google/gemma-2-9b-it,Gemma-2-9B,stops_at_90,37,40,0.925
Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B,missing_last_2,1,40,0.025
Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B,missing_last_10,0,40,0.0
Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B,stops_at_50,0,40,0.0
Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B,stops_at_90,1,40,0.025
