T-001 | refund_pending
T-002 | refund_pending
T-003 | app_crash
T-004 | unexpected_fee
T-005 | package_not_received
T-006 | password_reset_missing
T-007 | password_reset_missing
T-008 | tracking_stalled
T-009 | damaged_item
T-010 | password_reset_missing
T-011 | refund_pending
T-012 | damaged_item
T-013 | unexpected_fee
T-014 | password_reset_missing
T-015 | duplicate_charge
T-016 | duplicate_charge
T-017 | tracking_stalled
T-018 | refund_pending
T-019 | package_not_received
T-020 | app_crash
T-021 | verification_phone_old
T-022 | refund_pending
T-023 | duplicate_charge
T-024 | unexpected_fee
T-025 | verification_phone_old
T-026 | duplicate_charge
T-027 | package_not_received
T-028 | password_reset_missing
T-029 | payment_declined
T-030 | app_crash
T-031 | tracking_stalled
T-032 | damaged_item
T-033 | package_not_received
T-034 | verification_phone_old
T-035 | package_not_received
T-036 | unexpected_fee
T-037 | payment_declined
T-038 | duplicate_charge
T-039 | tracking_stalled
T-040 | refund_pending
T-041 | refund_pending
T-042 | verification_phone_old
T-043 | payment_declined
T-044 | app_crash
T-045 | password_reset_missing
T-046 | tracking_stalled
T-047 | unexpected_fee
T-048 | tracking_stalled
T-049 | duplicate_charge
T-050 | refund_pending
T-051 | verification_phone_old
T-052 | package_not_received
T-053 | damaged_item
T-054 | package_not_received
T-055 | payment_declined
T-056 | package_not_received
T-057 | package_not_received
T-058 | refund_pending
T-059 | refund_pending
T-060 | damaged_item
T-061 | password_reset_missing
T-062 | app_crash
T-063 | damaged_item
T-064 | payment_declined
T-065 | payment_declined
T-066 | damaged_item
T-067 | password_reset_missing
T-068 | payment_declined
T-069 | password_reset_missing
T-070 | payment_declined
T-071 | tracking_stalled
T-072 | duplicate_charge
T-073 | app_crash
T-074 | app_crash
T-075 | app_crash
T-076 | tracking_stalled
T-077 | tracking_stalled
T-078 | damaged_item
T-079 | payment_declined
T-080 | unexpected_fee
T-081 | app_crash
T-082 | unexpected_fee
T-083 | duplicate_charge
T-084 | payment_declined
T-085 | tracking_stalled
T-086 | verification_phone_old
T-087 | unexpected_fee
T-088 | password_reset_missing
T-089 | verification_phone_old
T-090 | verification_phone_old
T-091 | unexpected_fee
T-092 | unexpected_fee
T-093 | duplicate_charge
T-094 | verification_phone_old
T-095 | app_crash
T-096 | package_not_received
T-097 | damaged_item
T-098 | damaged_item
T-099 | duplicate_charge
T-100 | verification_phone_old

COMPLETED_COUNT: 100
